order_id,customer_name,category,product,quantity,unit_price,order_date,status,sales,profit,discount,total_amount,customer_type
1001.0,Aarav,Electronics,Laptop,2.0,85000.0,1/5/2026,Completed,170000.0,34000.0,17000.0,153000.0,Regular Buyer
1002.0,Sita,Furniture,Office Chair,1.0,18000.0,1/8/2026,Completed,18000.0,3600.0,900.0,17100.0,Regular Buyer
1003.0,Rohan,Electronics,Headphones,3.0,4500.0,1/12/2026,Pending,13500.0,2700.0,675.0,12825.0,Bulk Buyer
1004.0,Anisha,Clothing,Jacket,2.0,6500.0,1/15/2026,Completed,13000.0,2600.0,650.0,12350.0,Regular Buyer
1005.0,Bibek,Electronics,Mobile Phone,1.0,55000.0,1/20/2026,Cancelled,55000.0,11000.0,5500.0,49500.0,Regular Buyer
1006.0,Pragya,Books,Python Book,4.0,2200.0,1/22/2026,Completed,8800.0,1760.0,440.0,8360.0,Bulk Buyer
1007.0,Nabin,Furniture,Desk,2.0,25000.0,1/25/2026,Completed,50000.0,10000.0,5000.0,45000.0,Regular Buyer
1008.0,Samir,Clothing,Sneakers,3.0,7500.0,2/2/2026,Pending,22500.0,4500.0,1125.0,21375.0,Bulk Buyer
1010.0,Kiran,Books,Data Science Book,2.0,3500.0,2/9/2026,Completed,7000.0,1400.0,350.0,6650.0,Regular Buyer
1011.0,Mina,Clothing,T-Shirt,5.0,1800.0,2/12/2026,Completed,9000.0,1800.0,450.0,8550.0,Bulk Buyer
1012.0,Suman,Furniture,Bookshelf,1.0,15000.0,2/15/2026,,15000.0,3000.0,750.0,14250.0,Regular Buyer
1013.0,Roshan,Electronics,Monitor,2.0,28000.0,2/18/2026,Completed,56000.0,11200.0,5600.0,50400.0,Regular Buyer
1014.0,Kabita,Books,SQL Book,3.0,2800.0,2/20/2026,Completed,8400.0,1680.0,420.0,7980.0,Bulk Buyer
1015.0,Unknown,Clothing,Jeans,2.0,4200.0,2/23/2026,Cancelled,8400.0,1680.0,420.0,7980.0,Regular Buyer
1016.0,Alisha,Electronics,Keyboard,4.0,3500.0,3/1/2026,Completed,14000.0,2800.0,700.0,13300.0,Bulk Buyer
1017.0,Manoj,Furniture,Table,1.0,22000.0,3/5/2026,Completed,22000.0,4400.0,1100.0,20900.0,Regular Buyer
1018.0,Sneha,Clothing,Sweater,2.0,5000.0,3/8/2026,Pending,10000.0,2000.0,500.0,9500.0,Regular Buyer
1020.0,Rita,Electronics,Smart Watch,2.0,12000.0,3/15/2026,Completed,24000.0,4800.0,1200.0,22800.0,Regular Buyer
1025.0,Bikash,Furniture,Lamp,1.0,18000.0,1/8/2026,Completed,9000.0,7323.636363636364,450.0,17550.0,Regular Buyer
1026.0,Sarita,Electronics,Shirt,3.0,4500.0,1/12/2026,Pending,5000.0,1000.0,825.0,12675.0,Bulk Buyer
